epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.0417,0.9052,1.45587,0.97414,0.60063,0.80101,0.829,0.73396,0.53535,1.6951,0.83686,0.00041675,0.00041675,0.00041675
2,21.5385,0.67672,0.64042,0.87723,0.82429,0.94486,0.95528,0.82837,0.55116,0.60421,0.83409,0.000849962,0.000849962,0.000849962
3,29.7485,0.67852,0.56358,0.88223,0.94396,0.97235,0.96527,0.82837,0.58785,0.52865,0.83055,0.00128234,0.00128234,0.00128234
4,37.8287,0.70512,0.5552,0.88493,0.90985,0.97645,0.97889,0.83585,0.59366,0.61051,0.84645,0.00166334,0.00166334,0.00166334
5,45.9579,0.66326,0.53514,0.87589,0.9332,0.95331,0.97436,0.84347,0.55743,0.50381,0.82511,0.00166049,0.00166049,0.00166049
6,54.1433,0.65159,0.50205,0.87535,0.91143,0.89628,0.96743,0.8372,0.56295,0.59612,0.84718,0.00165684,0.00165684,0.00165684
7,62.2658,0.64878,0.50146,0.8669,0.94679,0.89378,0.94701,0.82062,0.54287,0.57981,0.83014,0.00165238,0.00165238,0.00165238
8,70.4451,0.61487,0.48334,0.86578,0.92304,0.97581,0.96598,0.86517,0.48681,0.44948,0.82678,0.00164713,0.00164713,0.00164713
9,78.7664,0.59037,0.44267,0.85043,0.94106,0.94057,0.97428,0.86196,0.50638,0.40041,0.82768,0.00164108,0.00164108,0.00164108
10,87.1087,0.59742,0.44061,0.85493,0.93465,0.93651,0.96768,0.84416,0.51583,0.41483,0.82015,0.00163424,0.00163424,0.00163424
11,95.5068,0.59173,0.43041,0.85681,0.89302,0.98528,0.95697,0.85407,0.45812,0.3696,0.81619,0.00162661,0.00162661,0.00162661
12,104.144,0.56386,0.42046,0.85483,0.94303,0.96967,0.96853,0.87334,0.47977,0.37797,0.82742,0.00161822,0.00161822,0.00161822
13,112.928,0.57038,0.43078,0.85435,0.91917,0.95697,0.96469,0.86794,0.47068,0.37568,0.81861,0.00160905,0.00160905,0.00160905
14,121.716,0.55232,0.40821,0.84802,0.93959,0.95853,0.9859,0.89093,0.45756,0.39203,0.81498,0.00159913,0.00159913,0.00159913
15,130.372,0.52931,0.39992,0.8442,0.92863,0.99049,0.98288,0.89705,0.44695,0.36001,0.80953,0.00158847,0.00158847,0.00158847
16,138.944,0.53915,0.40531,0.8501,0.9364,0.95359,0.97929,0.87988,0.45069,0.37099,0.80876,0.00157706,0.00157706,0.00157706
